,Player ID,Player Name,Age,Gender,Country,Favorite Game Genre,Email,Game ID,Total Playtime,Total Wins,Total Losses,Kill/Death Ratio,Experience Points (XP),Achievements Unlocked,Game Title,Genre,Release Date,Publisher,Platform,Average Playtime,Metacritic Score
0,1,Michael Wilson,66.0,F,Australia,RPG,xhyviwux@example.com,3756,14,51,3,1.0424224859364826,4867,43,Fantasy World,Strategy,2022-01-01,Publisher3,PC,,74
1,1,Michael Wilson,66.0,F,Australia,RPG,xhyviwux@example.com,2625,75,49,97,0.6301699139524644,94,46,Quest Legends,RPG,2022-01-01,Publisher5,Xbox Series X,58.0,89
2,63,William Johnson,63.0,Other,UK,Adventure,thcweuhz@example.com,2625,2,8,63,1.9850825784968484,4956,44,Quest Legends,RPG,2022-01-01,Publisher5,Xbox Series X,58.0,89
3,4528,Emma Moore,51.0,F,USA,Action,wbtnbwyx@example.com,2625,112,26,39,2.7836452189701677,796,37,Quest Legends,RPG,2022-01-01,Publisher5,Xbox Series X,58.0,89
4,1,Michael Wilson,66.0,F,Australia,RPG,xhyviwux@example.com,4376,117,83,16,4.259800471035446,7697,49,Space of Warcraft,Adventure,2022-01-01,Publisher8,PS5,62.0,95
5,1884,Sophia Miller,66.0,M,France,Simulation,tpfdcubp@example.com,4376,106,66,47,2.905615370098467,5049,16,Space of Warcraft,Adventure,2022-01-01,Publisher8,PS5,62.0,95
6,3,Daniel Moore,37.0,Other,Canada,RPG,menzderu@example.com,2371,145,31,13,2.1550044861457223,5511,22,Legends Journey,Sports,2022-01-01,Publisher4,PS5,48.0,104
7,4,John Moore,20.0,M,USA,Adventure,pburqphk@example.com,4123,180,98,97,1.9461897381848308,1487,34,Quest Journey,FPS,2022-01-01,Publisher18,PS5,87.0,77
8,2454,Emma Miller,,F,USA,Strategy,wdjszubt@example.com,4123,97,46,58,4.152496041483058,9118,49,Quest Journey,FPS,2022-01-01,Publisher18,PS5,87.0,77
9,2695,Emma Miller,11.0,M,Canada,Adventure,jcdptlqq@example.com,4123,60,56,14,3.1084507288894994,8375,7,Quest Journey,FPS,2022-01-01,Publisher18,PS5,87.0,77
